symbol,neutrons,protons,instability,abundance
Cl,22,17,0.03432092680223053,0.0
Cl,23,17,0.922193691444608,0.0
Cl,24,17,0.9623279327216104,0.0
Cl,25,17,0.9932230676836347,0.0
Cl,26,17,0.9968748933432805,0.0
Cl,27,17,0.9994401567707347,0.0
Cl,28,17,0.9995870852727604,0.0
Cl,29,17,0.999768026909919,0.0
Cl,30,17,0.9998990051003283,0.0
Ar,13,18,0.9999856001036795,0.0
Ar,14,18,0.9999020048018431,0.0
Ar,15,18,0.9998270149636371,0.0
Ar,16,18,0.9991565558991105,0.0
Ar,17,18,0.9982259754450886,0.0
Ar,18,18,0.0,0.3336
Ar,19,18,0.0,0.0
Ar,20,18,0.0,0.0629
Ar,21,18,0.0,0.0
Ar,22,18,0.0,99.6035
Ar,23,18,0.001392576013306365,0.0
Ar,24,18,0.0,0.0
Ar,25,18,0.7245532651848345,0.0
Ar,26,18,0.49056376913348393,0.0
Ar,27,18,0.9787490522544442,0.0
Ar,28,18,0.9916351814230984,0.0
Ar,29,18,0.9987707561399508,0.0
Ar,30,18,0.9995840865160027,0.0
Ar,31,18,0.9998300144491812,0.0
Ar,32,18,0.9998940056178015,0.0
K,16,19,0.9998220158410601,0.0
K,17,19,0.9996590581338919,0.0
K,18,19,0.9987757500062162,0.0
K,19,19,0.6318773311222267,0.0
K,20,19,0.0,93.2581
K,21,19,0.0,0.0117
K,22,19,0.0,6.7302
K,23,19,4.8244747071551953e-20,0.0
K,24,19,1.364077334677365e-35,0.0
K,25,19,0.26505975177927316,0.0
K,26,19,0.34348906564836407,0.0
K,27,19,0.9003245225862656,0.0
K,28,19,0.9826522356650732,0.0
K,29,19,0.9932230676836347,0.0
K,30,19,0.998740793466709,0.0
K,31,19,0.9995281113744764,0.0
K,32,19,0.9996350666043963,0.0
K,33,19,0.9998900060497782,0.0
K,34,19,0.9999700004499955,0.0
K,35,19,0.9999900000499998,0.0
Ca,15,20,0.9999743003302421,0.0
Ca,16,20,0.9998988051205473,0.0
Ca,17,20,0.9998189163976151,0.0
Ca,18,20,0.999556338446906,0.0
Ca,19,20,0.9991400699519475,0.0
Ca,20,20,0.0,96.941
Ca,21,20,0.0,0.0
Ca,22,20,0.0,0.647
Ca,23,20,0.0,0.135
Ca,24,20,0.0,2.086
Ca,25,20,0.0,0.0
Ca,26,20,0.0,0.004
Ca,27,20,6.2441866941987055e-171,0.0
Ca,28,20,0.0,0.187
Ca,29,20,0.592692241719409,0.0
Ca,30,20,0.9866400470868075,0.0
Ca,31,20,0.9900498337491681,0.0
Ca,32,20,0.9954105637959723,0.0
Ca,33,20,0.9995391062441732,0.0
Ca,34,20,0.9998930057242958,0.0
Ca,35,20,0.9999780002419982,0.0
Ca,36,20,0.9999890000604997,0.0
Sc,19,21,0.9998177166156353,0.0
Sc,20,21,0.9994038777515122,0.0
Sc,21,21,0.9993194416849328,0.0
Sc,22,21,8.252330546663445e-07,0.0
Sc,23,21,6.209594841847725e-07,0.0
Sc,24,21,0.0,100.0
Sc,25,21,0.0,0.0
Sc,26,21,2.1272747858025078e-126,0.0
Sc,27,21,4.58308071220864e-69,0.0
Sc,28,21,0.03236104158134663,0.0
Sc,29,21,0.9025781497529256,0.0
Sc,30,21,0.9876765632119844,0.0
Sc,31,21,0.9918335282934089,0.0
Sc,32,21,0.9974033770725698,0.0
Sc,33,21,0.9994741383137479,0.0
Sc,34,21,0.999895005512307,0.0
Sc,35,21,0.9999740003379971,0.0
Sc,36,21,0.9999870000844996,0.0
Sc,37,21,0.9999880000719997,0.0
Ti,17,22,0.9999715004061211,0.0
Ti,18,22,0.999947601372856,0.0
Ti,19,22,0.9999181033537134,0.0
Ti,20,22,0.9997913717658974,0.0
Ti,21,22,0.9994911295185241,0.0
Ti,22,22,0.0,0.0
Ti,23,22,1.529476415844601e-05,0.0
Ti,24,22,0.0,8.25
Ti,25,22,0.0,7.44
Ti,26,22,0.0,73.72
Ti,27,22,0.0,5.41
Ti,28,22,0.0,5.18
Ti,29,22,0.7077955487098908,0.0
Ti,30,22,0.9030295516688768,0.0
Ti,31,22,0.9678288647004981,0.0
Ti,32,22,0.99790220345731,0.0
Ti,33,22,0.9987008446339523,0.0
Ti,34,22,0.9998000199986667,0.0
Ti,35,22,0.9999020048018431,0.0
Ti,36,22,0.9999420016819675,0.0
Ti,37,22,0.9999715004061211,0.0
Ti,38,22,0.9999780002419982,0.0
Ti,39,22,0.9999850001124995,0.0
V,20,23,0.9999207031441619,0.0
V,21,23,0.9998890061602721,0.0
V,22,23,0.9994531495772259,0.0
V,23,23,0.9995775892405565,0.0
V,24,23,0.14142298297609007,0.0
V,25,23,0.0,0.0
V,26,23,0.0,0.0
V,27,23,0.0,0.25
V,28,23,0.0,99.75
V,29,23,0.7988516660102476,0.0
V,30,23,0.9115762819447842,0.0
V,31,23,0.951419689411471,0.0
V,32,23,0.9934813392550819,0.0
V,33,23,0.9997840233263204,0.0
V,34,23,0.9996800511945391,0.0
V,35,23,0.9998090182393388,0.0
V,36,23,0.9999030047043479,0.0
V,37,23,0.9998780074416974,0.0
V,38,23,0.9999517011664262,0.0
V,39,23,0.9999664005644737,0.0
V,40,23,0.9999830001444991,0.0
V,41,23,0.9999850001124995,0.0
Cr,18,24,0.9999867000884446,0.0
